,Release Date,Season,Episode,Episode Title,Name,Sentence
0,2011-04-17,Season 1,Episode 1,Winter is Coming,Waymar Royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces."
1,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
2,2011-04-17,Season 1,Episode 1,Winter is Coming,Waymar Royce,How close did you get?
3,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,Close as any man would.
4,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,We should head back to the wall.
5,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,Do the dead frighten you?
6,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.
7,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,You don't think he'll ask us how they died? Get back on your horse.
8,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,Whatever did it to them could do it to us. They even killed the children.
9,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again."
10,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,Your dead men seem to have moved camp.
11,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,They were here.
12,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,See where they went.
13,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,What is it?
14,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,It's …
15,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Go on. Father's watching.
16,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,And your mother.
17,2011-04-17,Season 1,Episode 1,Winter is Coming,Septa Mordane,"Fine work, as always. Well done."
18,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,Thank you.
19,2011-04-17,Season 1,Episode 1,Winter is Coming,Septa Mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …
20,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
21,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,"Don't think too much, Bran."
22,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,Relax your bow arm.
23,2011-04-17,Season 1,Episode 1,Winter is Coming,Jonrobb,"Quick, Bran, faster!"
24,2011-04-17,Season 1,Episode 1,Winter is Coming,Cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.
25,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Get the lads to saddle their horses.
26,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Do you have to?
27,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"He swore an oath, Cat."
28,2011-04-17,Season 1,Episode 1,Winter is Coming,Cassel,"The law is law, my lady."
29,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"Tell Bran he's coming, too."
30,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Ned. Ten is too young to see such things.
31,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,He won't be a boy forever. And winter is coming.
32,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,"Lad, go run back and get the rest."
33,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
34,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry."
35,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"nods yes, and WILL is positioned on the tree limb that serves as a block."
36,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"Forgive me, lord."
37,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"In the name of Robert of the House Baratheon, first of his name …"
38,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Don't look away.
39,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,King of the Andals and the First Men …
40,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Father will know if you do.
41,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
42,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,You did well.
43,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,You understand why I did it?
44,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,Jon said he was a deserter.
45,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,But do you understand why I had to kill him?
46,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,Our way is the old way?
47,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,The man who passes the sentence should swing the sword.
48,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,Is it true he saw the White Walkers?
49,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,The White Walkers have been gone for thousands of years.
50,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,So he was lying?
51,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,A madman sees what he sees.
52,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,What is it?
53,2011-04-17,Season 1,Episode 1,Winter is Coming,Theon Greyjoy,Mountain lion?
54,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,There are no mountain lions in these woods.
55,2011-04-17,Season 1,Episode 1,Winter is Coming,Theon Greyjoy,It's a freak.
56,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,It's a direwolf.
57,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Tough old beast.
58,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,There are no direwolves south of the Wall.
59,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Now there are five.
60,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,You want to hold it?
61,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,Where will they go? Their mother's dead.
62,2011-04-17,Season 1,Episode 1,Winter is Coming,Cassel,They don't belong down here.
63,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Better a quick death. They won't last without their mother.
64,2011-04-17,Season 1,Episode 1,Winter is Coming,Theon Greyjoy,Right. Give it here.
65,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,NO!
66,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,Put away your blade.
67,2011-04-17,Season 1,Episode 1,Winter is Coming,Theon Greyjoy,"I take orders from your father, not you."
68,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,"Please, father!"
69,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"I'm sorry, Bran."
70,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
71,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
72,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,What about you?
73,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,I'm not a Stark. Get on.
74,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,What is it?
75,2011-04-17,Season 1,Episode 1,Winter is Coming,Theon Greyjoy,"The runt of the litter. That one's yours, Snow."
76,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,"As your brother, I feel it's my duty to warn you"
77,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
78,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools."
79,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,What if Jon Arryn told someone?
80,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,But who would he tell?
81,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,My husband.
82,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
83,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,You should be the Hand of the king.
84,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,"That's an honor I can do without. Their days are too long, their lives are too short."
85,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,All these years and I still feel like an outsider when I come here.
86,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,You have five northern children. You're not an outsider.
87,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,I wonder if the old gods agree.
88,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,It's your gods with all the rules.
89,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,"I am so sorry, my love."
90,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Tell me.
91,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
92,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Your sister. The boy …
93,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
94,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"He's coming this far North, there's only one thing he's after."
95,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,"You can always say no, Ned."
96,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.
97,2011-04-17,Season 1,Episode 1,Winter is Coming,Maester Luwin,I'm told he drinks all night.
98,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,How much could he possibly drink? A man of his … stature.
99,2011-04-17,Season 1,Episode 1,Winter is Coming,Luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.
100,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,"In any case, candles."
101,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Why's your mother so dead-set on us getting pretty for the king?
102,2011-04-17,Season 1,Episode 1,Winter is Coming,Theon Greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]"
103,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,I hear the prince is a right royal prick.
104,2011-04-17,Season 1,Episode 1,Winter is Coming,Theon Greyjoy,Think of all those southern girls he gets to stab with his right royal prick.
105,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair."
106,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!"
107,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,I saw the king! He's got hundreds of people!
108,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,How many times have I told you
109,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,But he's coming right now! Down our road!
110,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,I want you to promise me
111,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,I promise.
112,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,D'you know what?
113,2011-04-17,Season 1,Episode 1,Winter is Coming,Bran Stark,What?
114,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.
115,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,"Where's Arya? Sansa, where's your sister?"
116,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]"
117,2011-04-17,Season 1,Episode 1,Winter is Coming,Arya Stark,Move!
118,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Your Grace.
119,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,You've got fat.
120,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,Cat!
121,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Your Grace.
122,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,Nine years. Why haven't I seen you? Where the hell have you been?
123,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"Guarding the North for you, Your Grace. Winterfell is yours."
124,2011-04-17,Season 1,Episode 1,Winter is Coming,Arya Stark,Where's the Imp?
125,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,Will you shut up?
126,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?"
127,2011-04-17,Season 1,Episode 1,Winter is Coming,Arya Stark,Arya.
128,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,Ooh. Show us your muscles. You'll be a soldier.
129,2011-04-17,Season 1,Episode 1,Winter is Coming,Arya Stark,That's Jaime Lannister. The queen's twin brother.
130,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,Would you please shut up.
131,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,My queen.
132,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,My queen.
133,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,Take me to your crypt. I want to pay my respects.
134,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,"We've been riding for a month, my love. Surely the dead can wait."
135,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,Ned.
136,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,Where is our brother? Go find the little beast.
137,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Tell me about Jon Arryn.
138,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man."
139,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,We both did.
140,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
141,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Aye.
142,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
143,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,I'm not worthy of the honor.
144,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses."
145,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,Mmh. It is true what they say about the Northern girls.
146,2011-04-17,Season 1,Episode 1,Winter is Coming,Ros,Did you hear the king's in Winterfell?
147,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,I did hear something about that.
148,2011-04-17,Season 1,Episode 1,Winter is Coming,Ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.
149,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,And the other brother?
150,2011-04-17,Season 1,Episode 1,Winter is Coming,Ros,The queen has two brothers?
151,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,There's the pretty one. And there's the clever one.
152,2011-04-17,Season 1,Episode 1,Winter is Coming,Ros,I hear they call him the Imp.
153,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,I hear he hates that nickname.
154,2011-04-17,Season 1,Episode 1,Winter is Coming,Ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.
155,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,Clever girl.
156,2011-04-17,Season 1,Episode 1,Winter is Coming,Ros,"We've been expecting you, Lord Tyrion."
157,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,Have you?
158,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,The gods gave me one blessing.
159,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,Don't get up.
160,2011-04-17,Season 1,Episode 1,Winter is Coming,Ros,M'lord.
161,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?"
162,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,"You've much to teach me, no doubt. But our sister craves your attention."
163,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,"She has odd cravings, our sister."
164,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people."
165,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses."
166,2011-04-17,Season 1,Episode 1,Winter is Coming,Jaime Lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown."
167,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,Close the door!
168,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
169,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,She was my sister. This is where she belongs.
170,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,She belonged with me.
171,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,"In my dreams, I kill him every night."
172,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"It's done, Your Grace. The Targaryens are gone."
173,2011-04-17,Season 1,Episode 1,Winter is Coming,Robert Baratheon,Not all of them.
174,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,Daenerys!
175,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?
176,2011-04-17,Season 1,Episode 1,Winter is Coming,Daenerys Targaryen,We've been his guests for over a year and he's never asked us for anything.
177,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?"
178,2011-04-17,Season 1,Episode 1,Winter is Coming,Daenerys Targaryen,No.
179,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,"When they write the history of my reign, sweet sister, they will say it began today."
180,2011-04-17,Season 1,Episode 1,Winter is Coming,Maid,"It's too hot, my lady."
181,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,Where is he?
182,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,The Dothraki are not known for their punctuality.
183,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen."
184,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen."
185,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,"Come forward, my dear."
186,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,Where's he going?
187,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,The ceremony is over.
188,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,But he didn't say anything. Did he like her?
189,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,"Trust me, Your Grace. If he didn't like her, we'd know."
190,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.
191,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,When will they be married?
192,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,Soon. The Dothraki never stay still for long.
193,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,Is it true they lie with their horses?
194,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,I wouldn't ask Khal Drogo.
195,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,Do you take me for a fool?
196,2011-04-17,Season 1,Episode 1,Winter is Coming,Illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.
197,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,I know how to play a man like Drogo. I give him a queen and he gives me an army.
198,2011-04-17,Season 1,Episode 1,Winter is Coming,Daenerys Targaryen,I don't want to be his queen. I want to go home.
199,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?"
200,2011-04-17,Season 1,Episode 1,Winter is Coming,Daenerys Targaryen,I don't know.
201,2011-04-17,Season 1,Episode 1,Winter is Coming,Viserys,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took."
202,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,Do you think Joffrey will like me? What if he thinks I'm ugly?
203,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Then he is the stupidest prince that ever lived.
204,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,He's so handsome.
205,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,When would we be married? Soon or do we have to wait?
206,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Hush now. Your father hasn't even said yes.
207,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,Why would he say no? He'd be the second most powerful man in the kingdoms.
208,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,He'd have to leave home. He'd have to leave me. And so would you.
209,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,You left your home to come here. And I'd be queen someday. Please make father say yes.
210,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Sansa…
211,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,"Please, please. It's the only thing I ever wanted."
212,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,Is he dead yet?
213,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Uncle Benjen!
214,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?
215,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.
216,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,"Well, you're always welcome on the wall. No bastard was ever refused a seat there."
217,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,So take me with you when you go back.
218,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,Jon…
219,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,"Father will let me if you ask him, I know he will."
220,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,The Wall isn't going anywhere.
221,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,I'm ready to swear your oath.
222,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,You don't understand what you'd be giving up. We have no families. None of us will ever father sons.
223,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,I don't care about that.
224,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,"You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later."
225,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,Your uncle's in the Night's Watch.
226,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,What're you doing back there?
227,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,Preparing for a night with your family. I've always wanted to see the Wall.
228,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,You're Tyrion Lannister. The queen's brother?
229,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?"
230,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,"Did I offend you? Sorry. You are the bastard, though."
231,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Lord Eddard Stark is my father.
232,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
233,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,What the hell do you know about being a bastard?
234,2011-04-17,Season 1,Episode 1,Winter is Coming,Tyrion Lannister,All dwarves are bastards in their fathers' eyes.
235,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,You at a feast -- It's like a bear in a trap.
236,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,The boy I beheaded. Did you know him?
237,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger."
238,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,He was talking madness. Said the Walkers slaughtered his friends.
239,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,The two he was with are still missing.
240,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,A wildling ambush.
241,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.
242,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Winter is coming.
243,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,Uncle Benjen.
244,2011-04-17,Season 1,Episode 1,Winter is Coming,Benjen,Robb boy. How are ye?
245,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,I'm good.
246,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,"Is this your first time in the North, Your Grace?"
247,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,Yes. Lovely country.
248,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
249,2011-04-17,Season 1,Episode 1,Winter is Coming,Cersei Lannister,"Hello, little dove. But you are a beauty. How old are you?"
250,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,"Thirteen, Your Grace."
